Sujet	Prédicat	Objet
<http://viaf.org/viaf/298310776>	pschema:hasOccupation	wikidata:Q36180
<http://viaf.org/viaf/100227522>	foaf:publications	<http://viaf.org/viaf/177408390>
<http://viaf.org/viaf/66462384>	schema:deathDate	-159
<http://viaf.org/viaf/100227522>	schema:hasOccupation	wikidata:Q189430
wikidata:Q544948	dc:creator	<http://viaf.org/viaf/286265178>
<http://viaf.org/viaf/66462281>	schema:deathDate	<http://pleiades.stoa.org/places/423025>
<http://viaf.org/viaf/298310776>	schema:affiliation	Novi Poetae
<http://viaf.org/viaf/88342447>	schema:memberOf	wikidata:Q122166
<http://viaf.org/viaf/10638270>	schema:deathDate	114
<http://viaf.org/viaf/286265178>	pschema:hasOccupation	wikidata:Q36180
<http://viaf.org/viaf/100227522>	schema:hasOccupation	wikidata:Q20056508
<http://viaf.org/viaf/83985148>	schema:parent	wikidata:Q841571
<http://viaf.org/viaf/294047250>	schema:about	<http://viaf.org/viaf/12290061>
<http://viaf.org/viaf/90637919>	schema:birthPlace	<http://viaf.org/viaf/155934955>
<http://viaf.org/viaf/286265178>	foaf:name	César
<http://viaf.org/viaf/298310776>	foaf:name	Catullus
<http://viaf.org/viaf/100227522>	schema:hasOccupation	wikidata:Q49757
<http://viaf.org/viaf/90637919>	relationship:acquaintanceOf	wikidata:Q453916
<http://viaf.org/viaf/100227522>	schema:additionalName	Quintus Horatius Flaccus
<http://viaf.org/viaf/313680866>	dc:creator	<http://viaf.org/viaf/8194433>
<http://viaf.org/viaf/298310776>	schema:knows	<http://viaf.org/viaf/286265178>
<http://viaf.org/viaf/100226923>	schema:relatedTo	<http://viaf.org/viaf/12290061>
<http://viaf.org/viaf/100227522>	schema:alumniOf	<http://viaf.org/viaf/76207567>
<http://viaf.org/viaf/100219060>	foaf:knows	<http://viaf.org/viaf/178490045>
<http://viaf.org/viaf/66462281>	foaf:name	Plaute
<http://viaf.org/viaf/40305158>	schema:spouse	<http://viaf.org/viaf/10638270>
<http://viaf.org/viaf/8099277>	foaf:knows	<http://viaf.org/viaf/90637919>
<http://viaf.org/viaf/66462384>	schema:deathPlace	<http://pleiades.stoa.org/places/423025>
<http://viaf.org/viaf/88342447>	schema:deathPlace	<http://pleiades.stoa.org/places/217016>
<http://viaf.org/viaf/298310776>	schema:relatedTo	wikidata:Q1429412
<http://viaf.org/viaf/298310776>	schema:address	<http://pleiades.stoa.org/places/383781>
<http://viaf.org/viaf/100227522>	foaf:birthday	12/-0065
<http://viaf.org/viaf/8194433>	foaf:name	Publius Vergilius Maro
<http://viaf.org/viaf/18013086>	schema:birthPlace	<http://pleiades.stoa.org/places/423025>
<http://viaf.org/viaf/83985148>	schema:follows	wikidata:Q193769
<http://viaf.org/viaf/10638270>	schema:birthDate	61
<http://viaf.org/viaf/8099277>	dbpedia:memberFamily	wikidata:Q1429412
<http://viaf.org/viaf/313680866>	schema:editor	<http://viaf.org/viaf/50018621>
<http://viaf.org/viaf/88342447>	schema:workLocation	<http://www.geonames.org/maps/google_37.979_23.716.html>
<http://viaf.org/viaf/100227522>	schema:funder	<http://viaf.org/viaf/36906810>
<http://viaf.org/viaf/248145424558486830832>	dc:creator	<http://viaf.org/viaf/8194433>
<http://viaf.org/viaf/286265178>	pschema:hasOccupation	wikidata:Q82955
<http://viaf.org/viaf/8194433>	foaf:knows	<http://viaf.org/viaf/100227522>
<http://viaf.org/viaf/10638270>	schema:knows	wikidata:Q842606
<http://viaf.org/viaf/66462384>	schema:author	wikidata:Q1233645
<http://viaf.org/viaf/298310776>	schema:birthPlace	<http://pleiades.stoa.org/places/383816>
<http://viaf.org/viaf/100219060>	schema:deathDate	-25
<http://viaf.org/viaf/83985148>	schema:knows	wikidata:Q2098
<http://viaf.org/viaf/8194433>	schema:deathPlace	<http://pleiades.stoa.org/places/442509>
<http://viaf.org/viaf/66462384>	schema:author	wikidata:Q1217045
<http://viaf.org/viaf/100226923>	schema:follows	<http://viaf.org/viaf/104162705>
<http://viaf.org/viaf/8194433>	schema:deathDate	-19
<viaf.org/viaf/78769600>	schema:deathDate	7/12/-43
wikidata:Q48235	foaf:topic_interest	<http://viaf.org/viaf/90637919>
<http://viaf.org/viaf/10638270>	pschema:hasOccupation	wikidata:Q629712
<http://viaf.org/viaf/18013086>	schema:sponsor	<http://viaf.org/viaf/100227522>
<http://viaf.org/viaf/286265178>	wikidataProp:P40	wikidata:Q1405
wikidata:Q2293346	schema:description	<http://viaf.org/viaf/100226923>
<http://viaf.org/viaf/286265178>	wikidataProp:P1196	wikidata:Q149086
<http://viaf.org/viaf/100219162>	schema:parent	<http://viaf.org/viaf/10638270>
<http://viaf.org/viaf/286265178>	wikidataProp:P21	wikidata:Q6581097
<http://viaf.org/viaf/8099277>	pschema:hasOccupation	wikidata:Q49757
